631 848 895
('W',0,0)
('A',718,0)
('D',718,1)
('A',858,5)
('D',858,5)
('A',618,5)
('D',618,6)
('A',44,6)
('W',0,0)
('D',44,8)
('A',303,9)
('D',303,9)
('A',726,11)
('A',498,15)
('A',686,16)
('A',152,19)
('A',362,22)
('D',362,22)
('P',0,0)
('A',271,23)
('A',963,25)
('D',271,28)
('D',152,31)
('A',60,33)
('D',686,35)
('A',120,36)
('D',726,36)
('A',145,39)
('A',918,40)
('D',120,40)
('D',498,40)
('D',963,40)
('A',262,42)
('D',145,43)
('D',918,45)
('D',262,48)
('A',166,48)
('P',0,0)
('A',62,48)
('A',796,52)
('W',0,0)
('D',62,56)
('D',166,60)
('D',796,60)
('D',60,64)
('A',881,68)
('D',881,72)
('A',986,76)
('D',986,80)
('W',0,0)
('A',237,82)
('D',237,84)
('W',0,0)
('A',91,86)
('D',91,90)
('A',101,93)
('D',101,94)
('A',373,97)
('D',373,101)
('A',439,103)
('A',677,106)
('A',401,107)
('D',401,107)
('W',0,0)
('W',0,0)
('A',768,111)
('A',405,114)
('P',0,0)
('A',658,114)
('D',677,117)
('D',439,118)
('A',124,119)
('A',495,123)
('D',405,126)
('D',124,130)
('W',0,0)
('D',495,130)
('A',842,132)
('D',842,135)
('D',658,135)
('A',456,138)
('A',119,142)
('D',119,146)
('P',0,0)
('D',768,147)
('A',678,150)
('D',678,151)
('D',456,152)
('A',166,153)
('D',166,157)
('W',0,0)
('W',0,0)
('A',857,159)
('D',857,163)
('W',0,0)
('A',1,164)
('A',563,167)
('A',58,168)
('A',478,168)
('D',1,170)
('A',916,172)
('D',916,175)
('D',563,178)
('A',253,181)
('A',791,183)
('A',32,186)
('A',82,189)
('A',994,191)
('D',791,194)
('A',898,196)
('D',82,197)
('W',0,0)
('D',478,200)
('A',809,200)
('A',180,204)
('A',427,207)
('A',466,210)
('A',395,211)
('A',67,214)
('D',32,217)
('A',217,218)
('A',327,218)
('D',217,219)
('D',67,220)
('P',0,0)
('A',740,223)
('D',809,226)
('D',253,226)
('A',915,226)
('D',740,227)
('W',0,0)
('D',898,228)
('D',327,231)
('A',439,233)
('D',395,233)
('A',52,237)
('A',613,238)
('A',818,239)
('A',153,241)
('D',466,245)
('A',157,247)
('W',0,0)
('A',1,247)
('D',915,248)
('A',14,252)
('D',439,255)
('A',985,259)
('A',501,260)
('D',52,264)
('W',0,0)
('A',294,267)
('D',818,269)
('D',157,269)
('D',58,273)
('A',130,273)
('A',64,273)
('D',613,275)
('A',703,278)
('D',294,278)
('A',954,282)
('W',0,0)
('A',155,285)
('D',153,288)
('A',739,291)
('A',874,294)
('D',739,296)
('A',345,299)
('A',642,299)
('D',64,299)
('D',985,299)
('D',14,303)
('A',404,306)
('A',796,306)
('W',0,0)
('A',746,307)
('D',746,307)
('A',287,311)
('D',642,314)
('D',703,317)
('W',0,0)
('A',537,320)
('D',345,324)
('A',918,327)
('D',287,329)
('A',158,332)
('A',125,335)
('A',865,337)
('A',919,337)
('D',130,341)
('D',1,345)
('D',919,347)
('A',468,348)
('A',791,349)
('P',0,0)
('D',155,350)
('D',796,350)
('D',125,354)
('A',310,357)
('A',924,358)
('A',536,362)
('A',778,363)
('P',0,0)
('W',0,0)
('P',0,0)
('D',874,367)
('A',859,367)
('A',29,369)
('A',761,371)
('D',918,375)
('A',622,377)
('A',446,380)
('A',660,380)
('W',0,0)
('A',207,381)
('D',404,384)
('A',330,384)
('A',142,387)
('A',936,390)
('A',750,394)
('A',676,397)
('D',660,398)
('A',789,402)
('D',750,406)
('A',585,409)
('D',501,410)
('A',968,412)
('A',574,416)
('A',253,418)
('D',585,420)
('D',761,420)
('D',968,423)
('A',74,426)
('P',0,0)
('D',954,428)
('A',810,431)
('A',37,434)
('D',37,437)
('D',622,437)
('A',245,439)
('A',450,439)
('A',97,440)
('A',311,442)
('A',702,442)
('D',29,442)
('A',667,442)
('W',0,0)
('D',468,445)
('D',537,445)
('D',859,449)
('A',41,452)
('A',503,453)
('P',0,0)
('P',0,0)
('A',455,456)
('A',92,459)
('D',427,463)
('D',446,466)
('D',180,466)
('A',670,467)
('D',245,468)
('D',536,471)
('A',750,473)
('D',92,477)
('A',280,480)
('D',936,483)
('W',0,0)
('D',667,486)
('A',255,488)
('A',248,489)
('A',305,492)
('P',0,0)
('D',97,493)
('D',41,495)
('A',121,495)
('A',196,498)
('D',750,498)
('D',311,501)
('A',284,505)
('D',924,506)
('D',503,508)
('A',257,510)
('D',450,512)
('W',0,0)
('W',0,0)
('A',201,516)
('D',207,518)
('A',746,520)
('D',455,522)
('A',823,522)
('A',489,522)
('A',72,526)
('A',740,529)
('A',5,532)
('D',670,534)
('D',72,535)
('D',746,539)
('D',5,539)
('D',994,542)
('D',196,543)
('D',810,547)
('D',778,551)
('A',987,552)
('A',552,554)
('W',0,0)
('D',121,558)
('A',708,559)
('A',826,562)
('P',0,0)
('A',346,564)
('D',740,566)
('A',988,569)
('A',298,572)
('A',302,574)
('D',574,574)
('D',988,578)
('D',310,580)
('A',18,581)
('P',0,0)
('D',253,583)
('A',973,584)
('D',305,587)
('D',702,587)
('A',787,587)
('A',671,591)
('D',255,593)
('D',248,593)
('A',315,593)
('A',643,597)
('A',818,601)
('A',932,601)
('D',280,603)
('A',152,607)
('A',260,610)
('A',737,614)
('A',537,618)
('D',987,619)
('D',302,621)
('D',552,621)
('D',823,624)
('A',212,627)
('A',753,629)
('A',234,631)
('A',665,632)
('A',957,636)
('A',13,639)
('A',425,639)
('P',0,0)
('W',0,0)
('D',260,640)
('D',671,643)
('D',665,644)
('A',223,648)
('D',74,651)
('D',973,655)
('A',468,657)
('P',0,0)
('D',957,658)
('D',257,660)
('A',376,663)
('D',865,664)
('A',101,668)
('D',13,672)
('D',201,673)
('W',0,0)
('D',234,674)
('D',152,676)
('W',0,0)
('W',0,0)
('D',330,677)
('A',344,681)
('P',0,0)
('W',0,0)
('D',676,684)
('D',284,688)
('A',558,690)
('A',472,690)
('A',352,691)
('A',233,691)
('A',393,694)
('A',564,697)
('P',0,0)
('A',702,697)
('A',785,699)
('A',369,700)
('A',678,702)
('D',708,702)
('D',468,702)
('D',158,706)
('A',357,706)
('A',972,709)
('D',789,709)
('D',791,709)
('D',537,710)
('D',298,711)
('A',204,712)
('A',681,713)
('A',395,714)
('A',496,718)
('A',768,720)
('P',0,0)
('D',223,721)
('A',991,723)
('W',0,0)
('A',173,723)
('D',173,724)
('A',573,725)
('A',563,725)
('A',626,727)
('A',509,727)
('W',0,0)
('A',321,731)
('A',374,732)
('A',811,733)
('D',425,737)
('A',210,737)
('D',18,740)
('D',344,742)
('D',393,746)
('D',785,747)
('A',349,751)
('P',0,0)
('W',0,0)
('A',143,754)
('A',415,757)
('A',449,758)
('D',753,760)
('A',860,762)
('A',417,765)
('A',172,766)
('A',1,769)
('D',564,770)
('A',594,770)
('D',321,773)
('P',0,0)
('D',449,774)
('A',61,774)
('P',0,0)
('P',0,0)
('A',987,774)
('D',172,778)
('P',0,0)
('A',565,781)
('A',899,782)
('A',241,785)
('A',139,789)
('A',592,789)
('D',899,789)
('A',46,792)
('P',0,0)
('D',826,796)
('W',0,0)
('P',0,0)
('D',626,797)
('A',523,800)
('D',818,801)
('W',0,0)
('D',357,801)
('D',496,805)
('A',298,806)
('D',523,810)
('D',932,811)
('A',75,815)
('A',837,819)
('D',972,823)
('D',233,824)
('A',410,826)
('D',376,828)
('D',298,831)
('D',212,835)
('D',987,838)
('A',444,839)
('D',594,840)
('A',227,844)
('D',573,844)
('D',227,848)
('D',444,851)
('A',385,855)
('D',204,855)
('D',139,857)
('D',61,861)
('D',349,864)
('A',571,866)
('A',494,867)
('D',142,871)
('A',724,875)
('D',415,875)
('A',668,877)
('W',0,0)
('A',26,879)
('D',678,882)
('A',255,882)
('A',54,885)
('A',949,889)
('A',920,891)
('D',346,894)
('A',366,895)
('D',210,899)
('D',565,903)
('D',724,904)
('A',339,905)
('P',0,0)
('A',689,909)
('A',56,909)
('D',920,910)
('A',333,910)
('D',563,913)
('D',494,914)
('W',0,0)
('A',253,916)
('D',54,920)
('A',205,923)
('P',0,0)
('A',644,927)
('D',75,930)
('D',385,934)
('A',289,938)
('A',152,942)
('A',238,946)
('D',374,947)
('D',152,948)
('A',510,950)
('A',385,953)
('D',417,953)
('D',366,953)
('A',8,956)
('A',934,956)
('A',137,958)
('D',56,961)
('D',369,965)
('D',395,968)
('P',0,0)
('D',410,968)
('D',489,969)
('A',788,973)
('D',255,973)
('A',505,974)
('D',860,975)
('A',732,978)
('D',339,981)
('A',249,985)
('D',702,985)
('W',0,0)
('A',936,986)
('A',178,986)
('A',956,986)
('D',956,988)
('A',961,992)
('D',934,995)
('A',210,997)
('A',273,997)
('D',253,997)
('D',644,1000)
('A',242,1002)
('D',1,1005)
('D',737,1009)
('A',398,1010)
('D',101,1014)
('A',207,1014)
('A',417,1017)
('A',112,1020)
('A',507,1024)
('A',163,1025)
('D',238,1026)
('D',510,1027)
('A',473,1028)
('D',473,1029)
('D',112,1030)
('P',0,0)
('W',0,0)
('A',433,1034)
('A',276,1036)
('D',137,1038)
('A',612,1042)
('A',66,1042)
('A',243,1042)
('A',656,1042)
('A',414,1042)
('A',680,1046)
('D',991,1048)
('D',66,1051)
('D',207,1051)
('P',0,0)
('D',788,1051)
('D',163,1052)
('P',0,0)
('D',243,1053)
('P',0,0)
('D',680,1055)
('A',439,1059)
('A',338,1060)
('A',483,1064)
('D',249,1064)
('A',948,1065)
('A',906,1065)
('A',910,1067)
('D',592,1069)
('D',787,1069)
('D',241,1071)
('A',435,1075)
('D',178,1078)
('A',975,1079)
('A',204,1079)
('P',0,0)
('A',696,1079)
('A',967,1083)
('A',238,1083)
('A',454,1084)
('D',385,1087)
('D',681,1087)
('D',46,1088)
('A',50,1091)
('D',352,1091)
('D',50,1092)
('D',398,1094)
('A',293,1098)
('A',988,1101)
('D',732,1103)
('A',754,1103)
('A',353,1106)
('W',0,0)
('A',317,1109)
('A',475,1109)
('A',83,1112)
('P',0,0)
('D',276,1113)
('D',906,1113)
('A',372,1115)
('A',349,1119)
('W',0,0)
('A',826,1119)
('W',0,0)
('A',373,1122)
('A',479,1122)
('D',349,1123)
('P',0,0)
('A',904,1123)
('D',910,1125)
('W',0,0)
('A',632,1129)
('D',967,1132)
('A',624,1136)
('D',624,1138)
('P',0,0)
('A',230,1140)
('P',0,0)
('A',928,1144)
('D',904,1146)
('A',940,1149)
('A',334,1149)
('A',57,1150)
('D',505,1151)
('A',527,1153)
('A',94,1153)
('A',812,1153)
('D',353,1157)
('A',61,1160)
('W',0,0)
('D',696,1160)
('A',862,1164)
('D',417,1164)
('D',632,1165)
('D',668,1169)
('A',944,1169)
('D',949,1171)
('D',94,1171)
('A',611,1173)
('D',205,1175)
('A',96,1175)
('A',952,1176)
('D',940,1178)
('D',204,1180)
('A',567,1181)
('W',0,0)
('W',0,0)
('A',962,1182)
('A',969,1186)
('A',867,1190)
('A',350,1190)
('D',26,1190)
('A',441,1191)
('D',969,1193)
('D',812,1194)
('P',0,0)
('D',57,1196)
('A',570,1200)
('D',567,1204)
('W',0,0)
('A',673,1208)
('A',677,1211)
('A',128,1211)
('D',61,1211)
('D',507,1212)
('A',692,1215)
('A',548,1215)
('W',0,0)
('D',373,1218)
('A',217,1221)
('D',948,1225)
('D',8,1228)
('A',413,1230)
('P',0,0)
('A',265,1233)
('D',454,1237)
('W',0,0)
('A',597,1241)
('A',467,1242)
('D',265,1243)
('A',728,1247)
('A',463,1249)
('A',57,1252)
('A',376,1254)
('D',333,1257)
('A',533,1258)
('D',548,1259)
('D',558,1262)
('D',975,1265)
('D',315,1265)
('A',797,1269)
('A',265,1273)
('A',688,1277)
('D',210,1280)
('A',29,1284)
('A',491,1286)
('A',542,1287)
('A',714,1288)
('A',156,1289)
('A',652,1290)
('A',735,1294)
('A',916,1294)
('D',962,1295)
('D',29,1297)
('P',0,0)
('A',65,1299)
('D',527,1303)
('A',415,1305)
('D',96,1305)
('A',697,1309)
('D',293,1309)
('D',936,1309)
('A',596,1312)
('A',271,1315)
('D',944,1316)
('D',143,1316)
('D',596,1317)
('A',845,1321)
('W',0,0)
('D',643,1322)
('A',954,1323)
('A',778,1325)
('D',611,1328)
('W',0,0)
('A',257,1331)
('A',211,1333)
('D',433,1333)
('P',0,0)
('A',903,1335)
('D',413,1336)
('D',597,1340)
('P',0,0)
('A',104,1340)
('D',689,1341)
('A',244,1343)
('A',33,1345)
('D',435,1346)
('A',422,1350)
('A',731,1353)
('D',916,1356)
('A',755,1357)
('A',99,1360)
('D',491,1361)
('A',863,1361)
('A',126,1364)
('D',271,1367)
('D',811,1371)
('W',0,0)
('A',307,1374)
('A',72,1375)
('A',388,1377)
('P',0,0)
('D',845,1381)
('D',863,1385)
('D',230,1387)
('D',755,1390)
('D',903,1392)
('A',318,1395)
('A',11,1398)
('D',652,1399)
('D',754,1403)
('W',0,0)
('D',388,1406)
('A',112,1408)
('D',57,1411)
('P',0,0)
('A',808,1413)
('A',892,1414)
('A',544,1418)
('A',660,1422)
('D',797,1422)
('A',636,1425)
('E',0,0)
